Layer Name,Output Shape
conv3_block2_2_conv,"(None, 28, 28, 32)"
conv3_block2_concat,"(None, 28, 28, 192)"
conv3_block3_0_bn,"(None, 28, 28, 192)"
conv3_block3_0_relu,"(None, 28, 28, 192)"
conv3_block3_1_conv,"(None, 28, 28, 128)"
conv3_block3_1_bn,"(None, 28, 28, 128)"
conv3_block3_1_relu,"(None, 28, 28, 128)"
conv3_block3_2_conv,"(None, 28, 28, 32)"
conv3_block3_concat,"(None, 28, 28, 224)"
conv3_block4_0_bn,"(None, 28, 28, 224)"
conv3_block4_0_relu,"(None, 28, 28, 224)"
conv3_block4_1_conv,"(None, 28, 28, 128)"
conv3_block4_1_bn,"(None, 28, 28, 128)"
conv3_block4_1_relu,"(None, 28, 28, 128)"
conv3_block4_2_conv,"(None, 28, 28, 32)"
conv3_block4_concat,"(None, 28, 28, 256)"
conv3_block5_0_bn,"(None, 28, 28, 256)"
conv3_block5_0_relu,"(None, 28, 28, 256)"
conv3_block5_1_conv,"(None, 28, 28, 128)"
conv3_block5_1_bn,"(None, 28, 28, 128)"
conv3_block5_1_relu,"(None, 28, 28, 128)"
conv3_block5_2_conv,"(None, 28, 28, 32)"
conv3_block5_concat,"(None, 28, 28, 288)"
conv3_block6_0_bn,"(None, 28, 28, 288)"
conv3_block6_0_relu,"(None, 28, 28, 288)"
conv3_block6_1_conv,"(None, 28, 28, 128)"
conv3_block6_1_bn,"(None, 28, 28, 128)"
conv3_block6_1_relu,"(None, 28, 28, 128)"
conv3_block6_2_conv,"(None, 28, 28, 32)"
conv3_block6_concat,"(None, 28, 28, 320)"
conv3_block7_0_bn,"(None, 28, 28, 320)"
conv3_block7_0_relu,"(None, 28, 28, 320)"
conv3_block7_1_conv,"(None, 28, 28, 128)"
conv3_block7_1_bn,"(None, 28, 28, 128)"
conv3_block7_1_relu,"(None, 28, 28, 128)"
conv3_block7_2_conv,"(None, 28, 28, 32)"
conv3_block7_concat,"(None, 28, 28, 352)"
conv3_block8_0_bn,"(None, 28, 28, 352)"
conv3_block8_0_relu,"(None, 28, 28, 352)"
conv3_block8_1_conv,"(None, 28, 28, 128)"
conv3_block8_1_bn,"(None, 28, 28, 128)"
conv3_block8_1_relu,"(None, 28, 28, 128)"
conv3_block8_2_conv,"(None, 28, 28, 32)"
conv3_block8_concat,"(None, 28, 28, 384)"
conv3_block9_0_bn,"(None, 28, 28, 384)"
conv3_block9_0_relu,"(None, 28, 28, 384)"
conv3_block9_1_conv,"(None, 28, 28, 128)"
conv3_block9_1_bn,"(None, 28, 28, 128)"
conv3_block9_1_relu,"(None, 28, 28, 128)"
conv3_block9_2_conv,"(None, 28, 28, 32)"
conv3_block9_concat,"(None, 28, 28, 416)"
conv3_block10_0_bn,"(None, 28, 28, 416)"
conv3_block10_0_relu,"(None, 28, 28, 416)"
conv3_block10_1_conv,"(None, 28, 28, 128)"
conv3_block10_1_bn,"(None, 28, 28, 128)"
conv3_block10_1_relu,"(None, 28, 28, 128)"
conv3_block10_2_conv,"(None, 28, 28, 32)"
conv3_block10_concat,"(None, 28, 28, 448)"
conv3_block11_0_bn,"(None, 28, 28, 448)"
conv3_block11_0_relu,"(None, 28, 28, 448)"
conv3_block11_1_conv,"(None, 28, 28, 128)"
conv3_block11_1_bn,"(None, 28, 28, 128)"
conv3_block11_1_relu,"(None, 28, 28, 128)"
conv3_block11_2_conv,"(None, 28, 28, 32)"
conv3_block11_concat,"(None, 28, 28, 480)"
conv3_block12_0_bn,"(None, 28, 28, 480)"
conv3_block12_0_relu,"(None, 28, 28, 480)"
conv3_block12_1_conv,"(None, 28, 28, 128)"
conv3_block12_1_bn,"(None, 28, 28, 128)"
conv3_block12_1_relu,"(None, 28, 28, 128)"
conv3_block12_2_conv,"(None, 28, 28, 32)"
conv3_block12_concat,"(None, 28, 28, 512)"
pool3_bn,"(None, 28, 28, 512)"
pool3_relu,"(None, 28, 28, 512)"
pool3_conv,"(None, 28, 28, 256)"
pool3_pool,"(None, 14, 14, 256)"
conv4_block1_0_bn,"(None, 14, 14, 256)"
conv4_block1_0_relu,"(None, 14, 14, 256)"
conv4_block1_1_conv,"(None, 14, 14, 128)"
conv4_block1_1_bn,"(None, 14, 14, 128)"
conv4_block1_1_relu,"(None, 14, 14, 128)"
conv4_block1_2_conv,"(None, 14, 14, 32)"
conv4_block1_concat,"(None, 14, 14, 288)"
conv4_block2_0_bn,"(None, 14, 14, 288)"
conv4_block2_0_relu,"(None, 14, 14, 288)"
conv4_block2_1_conv,"(None, 14, 14, 128)"
conv4_block2_1_bn,"(None, 14, 14, 128)"
conv4_block2_1_relu,"(None, 14, 14, 128)"
conv4_block2_2_conv,"(None, 14, 14, 32)"
conv4_block2_concat,"(None, 14, 14, 320)"
conv4_block3_0_bn,"(None, 14, 14, 320)"
conv4_block3_0_relu,"(None, 14, 14, 320)"
conv4_block3_1_conv,"(None, 14, 14, 128)"
conv4_block3_1_bn,"(None, 14, 14, 128)"
conv4_block3_1_relu,"(None, 14, 14, 128)"
conv4_block3_2_conv,"(None, 14, 14, 32)"
conv4_block3_concat,"(None, 14, 14, 352)"
conv4_block4_0_bn,"(None, 14, 14, 352)"
conv4_block4_0_relu,"(None, 14, 14, 352)"
conv4_block4_1_conv,"(None, 14, 14, 128)"
conv4_block4_1_bn,"(None, 14, 14, 128)"
conv4_block4_1_relu,"(None, 14, 14, 128)"
conv4_block4_2_conv,"(None, 14, 14, 32)"
conv4_block4_concat,"(None, 14, 14, 384)"
conv4_block5_0_bn,"(None, 14, 14, 384)"
conv4_block5_0_relu,"(None, 14, 14, 384)"
conv4_block5_1_conv,"(None, 14, 14, 128)"
conv4_block5_1_bn,"(None, 14, 14, 128)"
conv4_block5_1_relu,"(None, 14, 14, 128)"
conv4_block5_2_conv,"(None, 14, 14, 32)"
conv4_block5_concat,"(None, 14, 14, 416)"
conv4_block6_0_bn,"(None, 14, 14, 416)"
conv4_block6_0_relu,"(None, 14, 14, 416)"
conv4_block6_1_conv,"(None, 14, 14, 128)"
conv4_block6_1_bn,"(None, 14, 14, 128)"
conv4_block6_1_relu,"(None, 14, 14, 128)"
conv4_block6_2_conv,"(None, 14, 14, 32)"
conv4_block6_concat,"(None, 14, 14, 448)"
conv4_block7_0_bn,"(None, 14, 14, 448)"
conv4_block7_0_relu,"(None, 14, 14, 448)"
conv4_block7_1_conv,"(None, 14, 14, 128)"
conv4_block7_1_bn,"(None, 14, 14, 128)"
conv4_block7_1_relu,"(None, 14, 14, 128)"
conv4_block7_2_conv,"(None, 14, 14, 32)"
conv4_block7_concat,"(None, 14, 14, 480)"
conv4_block8_0_bn,"(None, 14, 14, 480)"
conv4_block8_0_relu,"(None, 14, 14, 480)"
conv4_block8_1_conv,"(None, 14, 14, 128)"
conv4_block8_1_bn,"(None, 14, 14, 128)"
conv4_block8_1_relu,"(None, 14, 14, 128)"
conv4_block8_2_conv,"(None, 14, 14, 32)"
conv4_block8_concat,"(None, 14, 14, 512)"
conv4_block9_0_bn,"(None, 14, 14, 512)"
conv4_block9_0_relu,"(None, 14, 14, 512)"
conv4_block9_1_conv,"(None, 14, 14, 128)"
conv4_block9_1_bn,"(None, 14, 14, 128)"
conv4_block9_1_relu,"(None, 14, 14, 128)"
conv4_block9_2_conv,"(None, 14, 14, 32)"
conv4_block9_concat,"(None, 14, 14, 544)"
conv4_block10_0_bn,"(None, 14, 14, 544)"
conv4_block10_0_relu,"(None, 14, 14, 544)"
conv4_block10_1_conv,"(None, 14, 14, 128)"
conv4_block10_1_bn,"(None, 14, 14, 128)"
conv4_block10_1_relu,"(None, 14, 14, 128)"
conv4_block10_2_conv,"(None, 14, 14, 32)"
conv4_block10_concat,"(None, 14, 14, 576)"
conv4_block11_0_bn,"(None, 14, 14, 576)"
conv4_block11_0_relu,"(None, 14, 14, 576)"
conv4_block11_1_conv,"(None, 14, 14, 128)"
conv4_block11_1_bn,"(None, 14, 14, 128)"
conv4_block11_1_relu,"(None, 14, 14, 128)"
conv4_block11_2_conv,"(None, 14, 14, 32)"
conv4_block11_concat,"(None, 14, 14, 608)"
conv4_block12_0_bn,"(None, 14, 14, 608)"
conv4_block12_0_relu,"(None, 14, 14, 608)"
conv4_block12_1_conv,"(None, 14, 14, 128)"
conv4_block12_1_bn,"(None, 14, 14, 128)"
conv4_block12_1_relu,"(None, 14, 14, 128)"
conv4_block12_2_conv,"(None, 14, 14, 32)"
conv4_block12_concat,"(None, 14, 14, 640)"
conv4_block13_0_bn,"(None, 14, 14, 640)"
conv4_block13_0_relu,"(None, 14, 14, 640)"
conv4_block13_1_conv,"(None, 14, 14, 128)"
conv4_block13_1_bn,"(None, 14, 14, 128)"
conv4_block13_1_relu,"(None, 14, 14, 128)"
conv4_block13_2_conv,"(None, 14, 14, 32)"
conv4_block13_concat,"(None, 14, 14, 672)"
conv4_block14_0_bn,"(None, 14, 14, 672)"
conv4_block14_0_relu,"(None, 14, 14, 672)"
conv4_block14_1_conv,"(None, 14, 14, 128)"
conv4_block14_1_bn,"(None, 14, 14, 128)"
conv4_block14_1_relu,"(None, 14, 14, 128)"
conv4_block14_2_conv,"(None, 14, 14, 32)"
conv4_block14_concat,"(None, 14, 14, 704)"
conv4_block15_0_bn,"(None, 14, 14, 704)"
conv4_block15_0_relu,"(None, 14, 14, 704)"
conv4_block15_1_conv,"(None, 14, 14, 128)"
conv4_block15_1_bn,"(None, 14, 14, 128)"
conv4_block15_1_relu,"(None, 14, 14, 128)"
conv4_block15_2_conv,"(None, 14, 14, 32)"
conv4_block15_concat,"(None, 14, 14, 736)"
conv4_block16_0_bn,"(None, 14, 14, 736)"
conv4_block16_0_relu,"(None, 14, 14, 736)"
conv4_block16_1_conv,"(None, 14, 14, 128)"
conv4_block16_1_bn,"(None, 14, 14, 128)"
conv4_block16_1_relu,"(None, 14, 14, 128)"
conv4_block16_2_conv,"(None, 14, 14, 32)"
conv4_block16_concat,"(None, 14, 14, 768)"
conv4_block17_0_bn,"(None, 14, 14, 768)"
conv4_block17_0_relu,"(None, 14, 14, 768)"
conv4_block17_1_conv,"(None, 14, 14, 128)"
conv4_block17_1_bn,"(None, 14, 14, 128)"
conv4_block17_1_relu,"(None, 14, 14, 128)"
conv4_block17_2_conv,"(None, 14, 14, 32)"
conv4_block17_concat,"(None, 14, 14, 800)"
conv4_block18_0_bn,"(None, 14, 14, 800)"
conv4_block18_0_relu,"(None, 14, 14, 800)"
conv4_block18_1_conv,"(None, 14, 14, 128)"
conv4_block18_1_bn,"(None, 14, 14, 128)"
conv4_block18_1_relu,"(None, 14, 14, 128)"
conv4_block18_2_conv,"(None, 14, 14, 32)"
conv4_block18_concat,"(None, 14, 14, 832)"
conv4_block19_0_bn,"(None, 14, 14, 832)"
conv4_block19_0_relu,"(None, 14, 14, 832)"
conv4_block19_1_conv,"(None, 14, 14, 128)"
conv4_block19_1_bn,"(None, 14, 14, 128)"
conv4_block19_1_relu,"(None, 14, 14, 128)"
conv4_block19_2_conv,"(None, 14, 14, 32)"
conv4_block19_concat,"(None, 14, 14, 864)"
conv4_block20_0_bn,"(None, 14, 14, 864)"
conv4_block20_0_relu,"(None, 14, 14, 864)"
conv4_block20_1_conv,"(None, 14, 14, 128)"
conv4_block20_1_bn,"(None, 14, 14, 128)"
conv4_block20_1_relu,"(None, 14, 14, 128)"
conv4_block20_2_conv,"(None, 14, 14, 32)"
conv4_block20_concat,"(None, 14, 14, 896)"
conv4_block21_0_bn,"(None, 14, 14, 896)"
conv4_block21_0_relu,"(None, 14, 14, 896)"
conv4_block21_1_conv,"(None, 14, 14, 128)"
conv4_block21_1_bn,"(None, 14, 14, 128)"
conv4_block21_1_relu,"(None, 14, 14, 128)"
conv4_block21_2_conv,"(None, 14, 14, 32)"
conv4_block21_concat,"(None, 14, 14, 928)"
conv4_block22_0_bn,"(None, 14, 14, 928)"
conv4_block22_0_relu,"(None, 14, 14, 928)"
conv4_block22_1_conv,"(None, 14, 14, 128)"
conv4_block22_1_bn,"(None, 14, 14, 128)"
conv4_block22_1_relu,"(None, 14, 14, 128)"
conv4_block22_2_conv,"(None, 14, 14, 32)"
conv4_block22_concat,"(None, 14, 14, 960)"
conv4_block23_0_bn,"(None, 14, 14, 960)"
conv4_block23_0_relu,"(None, 14, 14, 960)"
conv4_block23_1_conv,"(None, 14, 14, 128)"
conv4_block23_1_bn,"(None, 14, 14, 128)"
conv4_block23_1_relu,"(None, 14, 14, 128)"
conv4_block23_2_conv,"(None, 14, 14, 32)"
conv4_block23_concat,"(None, 14, 14, 992)"
conv4_block24_0_bn,"(None, 14, 14, 992)"
conv4_block24_0_relu,"(None, 14, 14, 992)"
conv4_block24_1_conv,"(None, 14, 14, 128)"
conv4_block24_1_bn,"(None, 14, 14, 128)"
conv4_block24_1_relu,"(None, 14, 14, 128)"
conv4_block24_2_conv,"(None, 14, 14, 32)"
conv4_block24_concat,"(None, 14, 14, 1024)"
pool4_bn,"(None, 14, 14, 1024)"
pool4_relu,"(None, 14, 14, 1024)"
pool4_conv,"(None, 14, 14, 512)"
pool4_pool,"(None, 7, 7, 512)"
conv5_block1_0_bn,"(None, 7, 7, 512)"
conv5_block1_0_relu,"(None, 7, 7, 512)"
conv5_block1_1_conv,"(None, 7, 7, 128)"
conv5_block1_1_bn,"(None, 7, 7, 128)"
conv5_block1_1_relu,"(None, 7, 7, 128)"
conv5_block1_2_conv,"(None, 7, 7, 32)"
conv5_block1_concat,"(None, 7, 7, 544)"
conv5_block2_0_bn,"(None, 7, 7, 544)"
conv5_block2_0_relu,"(None, 7, 7, 544)"
conv5_block2_1_conv,"(None, 7, 7, 128)"
conv5_block2_1_bn,"(None, 7, 7, 128)"
conv5_block2_1_relu,"(None, 7, 7, 128)"
conv5_block2_2_conv,"(None, 7, 7, 32)"
conv5_block2_concat,"(None, 7, 7, 576)"
conv5_block3_0_bn,"(None, 7, 7, 576)"
conv5_block3_0_relu,"(None, 7, 7, 576)"
conv5_block3_1_conv,"(None, 7, 7, 128)"
conv5_block3_1_bn,"(None, 7, 7, 128)"
conv5_block3_1_relu,"(None, 7, 7, 128)"
conv5_block3_2_conv,"(None, 7, 7, 32)"
conv5_block3_concat,"(None, 7, 7, 608)"
conv5_block4_0_bn,"(None, 7, 7, 608)"
conv5_block4_0_relu,"(None, 7, 7, 608)"
conv5_block4_1_conv,"(None, 7, 7, 128)"
conv5_block4_1_bn,"(None, 7, 7, 128)"
conv5_block4_1_relu,"(None, 7, 7, 128)"
conv5_block4_2_conv,"(None, 7, 7, 32)"
conv5_block4_concat,"(None, 7, 7, 640)"
conv5_block5_0_bn,"(None, 7, 7, 640)"
conv5_block5_0_relu,"(None, 7, 7, 640)"
conv5_block5_1_conv,"(None, 7, 7, 128)"
conv5_block5_1_bn,"(None, 7, 7, 128)"
conv5_block5_1_relu,"(None, 7, 7, 128)"
conv5_block5_2_conv,"(None, 7, 7, 32)"
conv5_block5_concat,"(None, 7, 7, 672)"
conv5_block6_0_bn,"(None, 7, 7, 672)"
conv5_block6_0_relu,"(None, 7, 7, 672)"
conv5_block6_1_conv,"(None, 7, 7, 128)"
conv5_block6_1_bn,"(None, 7, 7, 128)"
conv5_block6_1_relu,"(None, 7, 7, 128)"
conv5_block6_2_conv,"(None, 7, 7, 32)"
conv5_block6_concat,"(None, 7, 7, 704)"
conv5_block7_0_bn,"(None, 7, 7, 704)"
conv5_block7_0_relu,"(None, 7, 7, 704)"
conv5_block7_1_conv,"(None, 7, 7, 128)"
conv5_block7_1_bn,"(None, 7, 7, 128)"
conv5_block7_1_relu,"(None, 7, 7, 128)"
conv5_block7_2_conv,"(None, 7, 7, 32)"
conv5_block7_concat,"(None, 7, 7, 736)"
conv5_block8_0_bn,"(None, 7, 7, 736)"
conv5_block8_0_relu,"(None, 7, 7, 736)"
conv5_block8_1_conv,"(None, 7, 7, 128)"
conv5_block8_1_bn,"(None, 7, 7, 128)"
conv5_block8_1_relu,"(None, 7, 7, 128)"
conv5_block8_2_conv,"(None, 7, 7, 32)"
conv5_block8_concat,"(None, 7, 7, 768)"
conv5_block9_0_bn,"(None, 7, 7, 768)"
conv5_block9_0_relu,"(None, 7, 7, 768)"
conv5_block9_1_conv,"(None, 7, 7, 128)"
conv5_block9_1_bn,"(None, 7, 7, 128)"
conv5_block9_1_relu,"(None, 7, 7, 128)"
conv5_block9_2_conv,"(None, 7, 7, 32)"
conv5_block9_concat,"(None, 7, 7, 800)"
conv5_block10_0_bn,"(None, 7, 7, 800)"
conv5_block10_0_relu,"(None, 7, 7, 800)"
conv5_block10_1_conv,"(None, 7, 7, 128)"
conv5_block10_1_bn,"(None, 7, 7, 128)"
conv5_block10_1_relu,"(None, 7, 7, 128)"
conv5_block10_2_conv,"(None, 7, 7, 32)"
conv5_block10_concat,"(None, 7, 7, 832)"
conv5_block11_0_bn,"(None, 7, 7, 832)"
conv5_block11_0_relu,"(None, 7, 7, 832)"
conv5_block11_1_conv,"(None, 7, 7, 128)"
conv5_block11_1_bn,"(None, 7, 7, 128)"
conv5_block11_1_relu,"(None, 7, 7, 128)"
conv5_block11_2_conv,"(None, 7, 7, 32)"
conv5_block11_concat,"(None, 7, 7, 864)"
conv5_block12_0_bn,"(None, 7, 7, 864)"
conv5_block12_0_relu,"(None, 7, 7, 864)"
conv5_block12_1_conv,"(None, 7, 7, 128)"
conv5_block12_1_bn,"(None, 7, 7, 128)"
conv5_block12_1_relu,"(None, 7, 7, 128)"
conv5_block12_2_conv,"(None, 7, 7, 32)"
conv5_block12_concat,"(None, 7, 7, 896)"
conv5_block13_0_bn,"(None, 7, 7, 896)"
conv5_block13_0_relu,"(None, 7, 7, 896)"
conv5_block13_1_conv,"(None, 7, 7, 128)"
conv5_block13_1_bn,"(None, 7, 7, 128)"
conv5_block13_1_relu,"(None, 7, 7, 128)"
conv5_block13_2_conv,"(None, 7, 7, 32)"
conv5_block13_concat,"(None, 7, 7, 928)"
conv5_block14_0_bn,"(None, 7, 7, 928)"
conv5_block14_0_relu,"(None, 7, 7, 928)"
conv5_block14_1_conv,"(None, 7, 7, 128)"
conv5_block14_1_bn,"(None, 7, 7, 128)"
conv5_block14_1_relu,"(None, 7, 7, 128)"
conv5_block14_2_conv,"(None, 7, 7, 32)"
conv5_block14_concat,"(None, 7, 7, 960)"
conv5_block15_0_bn,"(None, 7, 7, 960)"
conv5_block15_0_relu,"(None, 7, 7, 960)"
conv5_block15_1_conv,"(None, 7, 7, 128)"
conv5_block15_1_bn,"(None, 7, 7, 128)"
conv5_block15_1_relu,"(None, 7, 7, 128)"
conv5_block15_2_conv,"(None, 7, 7, 32)"
conv5_block15_concat,"(None, 7, 7, 992)"
conv5_block16_0_bn,"(None, 7, 7, 992)"
conv5_block16_0_relu,"(None, 7, 7, 992)"
conv5_block16_1_conv,"(None, 7, 7, 128)"
conv5_block16_1_bn,"(None, 7, 7, 128)"
conv5_block16_1_relu,"(None, 7, 7, 128)"
conv5_block16_2_conv,"(None, 7, 7, 32)"
conv5_block16_concat,"(None, 7, 7, 1024)"
bn,"(None, 7, 7, 1024)"
relu,"(None, 7, 7, 1024)"
max_pool,"(None, 1024)"
predictions,"(None, 1)"
