Layer Name,Output Shape
input_2,"[(None, 224, 224, 3)]"
zero_padding2d_2,"(None, 230, 230, 3)"
conv1/conv,"(None, 112, 112, 64)"
conv1/bn,"(None, 112, 112, 64)"
conv1/relu,"(None, 112, 112, 64)"
zero_padding2d_3,"(None, 114, 114, 64)"
pool1,"(None, 56, 56, 64)"
conv2_block1_0_bn,"(None, 56, 56, 64)"
conv2_block1_0_relu,"(None, 56, 56, 64)"
conv2_block1_1_conv,"(None, 56, 56, 128)"
conv2_block1_1_bn,"(None, 56, 56, 128)"
conv2_block1_1_relu,"(None, 56, 56, 128)"
conv2_block1_2_conv,"(None, 56, 56, 32)"
conv2_block1_concat,"(None, 56, 56, 96)"
conv2_block2_0_bn,"(None, 56, 56, 96)"
conv2_block2_0_relu,"(None, 56, 56, 96)"
conv2_block2_1_conv,"(None, 56, 56, 128)"
conv2_block2_1_bn,"(None, 56, 56, 128)"
conv2_block2_1_relu,"(None, 56, 56, 128)"
conv2_block2_2_conv,"(None, 56, 56, 32)"
conv2_block2_concat,"(None, 56, 56, 128)"
conv2_block3_0_bn,"(None, 56, 56, 128)"
conv2_block3_0_relu,"(None, 56, 56, 128)"
conv2_block3_1_conv,"(None, 56, 56, 128)"
conv2_block3_1_bn,"(None, 56, 56, 128)"
conv2_block3_1_relu,"(None, 56, 56, 128)"
conv2_block3_2_conv,"(None, 56, 56, 32)"
conv2_block3_concat,"(None, 56, 56, 160)"
conv2_block4_0_bn,"(None, 56, 56, 160)"
conv2_block4_0_relu,"(None, 56, 56, 160)"
conv2_block4_1_conv,"(None, 56, 56, 128)"
conv2_block4_1_bn,"(None, 56, 56, 128)"
conv2_block4_1_relu,"(None, 56, 56, 128)"
conv2_block4_2_conv,"(None, 56, 56, 32)"
conv2_block4_concat,"(None, 56, 56, 192)"
conv2_block5_0_bn,"(None, 56, 56, 192)"
conv2_block5_0_relu,"(None, 56, 56, 192)"
conv2_block5_1_conv,"(None, 56, 56, 128)"
conv2_block5_1_bn,"(None, 56, 56, 128)"
conv2_block5_1_relu,"(None, 56, 56, 128)"
conv2_block5_2_conv,"(None, 56, 56, 32)"
conv2_block5_concat,"(None, 56, 56, 224)"
conv2_block6_0_bn,"(None, 56, 56, 224)"
conv2_block6_0_relu,"(None, 56, 56, 224)"
conv2_block6_1_conv,"(None, 56, 56, 128)"
conv2_block6_1_bn,"(None, 56, 56, 128)"
conv2_block6_1_relu,"(None, 56, 56, 128)"
conv2_block6_2_conv,"(None, 56, 56, 32)"
conv2_block6_concat,"(None, 56, 56, 256)"
pool2_bn,"(None, 56, 56, 256)"
pool2_relu,"(None, 56, 56, 256)"
pool2_conv,"(None, 56, 56, 128)"
pool2_pool,"(None, 28, 28, 128)"
conv3_block1_0_bn,"(None, 28, 28, 128)"
conv3_block1_0_relu,"(None, 28, 28, 128)"
conv3_block1_1_conv,"(None, 28, 28, 128)"
conv3_block1_1_bn,"(None, 28, 28, 128)"
conv3_block1_1_relu,"(None, 28, 28, 128)"
conv3_block1_2_conv,"(None, 28, 28, 32)"
conv3_block1_concat,"(None, 28, 28, 160)"
conv3_block2_0_bn,"(None, 28, 28, 160)"
conv3_block2_0_relu,"(None, 28, 28, 160)"
conv3_block2_1_conv,"(None, 28, 28, 128)"
conv3_block2_1_bn,"(None, 28, 28, 128)"
conv3_block2_1_relu,"(None, 28, 28, 128)"
